course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating
528784,Stock market Investing Encyclopedia: How to invest in stocks,Paid,200,3143,11,39,Intermediate,3.0,2015-11-10,Business Finance,English,4.7
637430,Learn the basics of preparing accounting statements,Paid,20,1951,30,20,Intermediate,0.55,2015-10-13,Business Finance,English,4.4
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,Paid,90,4022,35,14,Expert,1.0,2016-12-15,Business Finance,English,4.234613666815543
777444,Corporate Finance - A Brief Introduction,Free,0,11724,649,17,Beginner,1.5,2016-03-04,Business Finance,English,4.2
474238,Excel functions to analyze and visualize data,Paid,20,2283,54,16,Intermediate,2.0,2015-04-20,Business Finance,English,4.6
1245244,Building Financial Statements in Excel,Paid,35,1181,1,18,Beginner,1.0,2017-06-29,Business Finance,English,4.1
1051570,Transfer Pricing A Complete Analysis,Paid,50,1852,3,14,All Levels,2.5,2016-12-28,Business Finance,English,4.234613666815543
262370,Accounting: Get Hired Without Work Experience,Paid,100,4661,187,20,All Levels,1.0,2014-09-01,Business Finance,English,3.8
1188178,Forex Trading for Beginners - Basics,Paid,50,989,9,11,All Levels,1.0,2017-04-24,Business Finance,English,4.234613666815543
824592,Basic Bookkeeping Hacks,Paid,20,5841,16,28,All Levels,1.5,2016-06-14,Business Finance,English,3.9
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),Paid,200,1087,14,61,All Levels,9.5,2017-03-23,Business Finance,English,4.234613666815543
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",Paid,200,611,4,26,Beginner,1.0,2017-06-07,Business Finance,English,4.234613666815543
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",Paid,60,1922,149,15,All Levels,20.0,2016-01-21,Business Finance,English,4.6
252396,How to Pick The Right Penny Stocks To Invest In 2017,Paid,150,9015,65,23,All Levels,2.5,2014-07-01,Business Finance,English,3.5
1198166,Top 10 Trading Ideas in the Equities Market,Paid,20,661,4,12,All Levels,1.0,2017-05-02,Business Finance,English,4.234613666815543
920604,Intro to Financial Modeling,Paid,105,1077,110,55,Beginner,6.0,2016-08-19,Business Finance,English,4.6
215728,Shark Accounting - Building a Business by the Numbers!,Paid,20,6050,140,17,Beginner,1.5,2014-05-18,Business Finance,English,4.6
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,Paid,150,3523,46,45,All Levels,4.0,2016-01-10,Business Finance,English,4.7
48841,Accounting in 60 Minutes - A Brief Introduction,Free,0,56659,4397,16,Beginner,1.5,2013-04-07,Business Finance,English,4.6
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,Paid,100,1444,101,59,Beginner,5.0,2016-07-25,Business Finance,English,4.3
317030,Learn how to double your Forex Trading Account in one trade,Paid,60,2900,424,36,Intermediate,2.5,2014-10-19,Business Finance,English,4.3
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",Paid,200,1437,96,34,Beginner,2.5,2016-08-08,Business Finance,English,4.7
1070886,Python Algo Trading: FX Trading with Oanda,Paid,200,453,42,33,Intermediate,3.0,2017-03-14,Business Finance,English,4.234613666815543
812616,Save on Your Taxes,Paid,20,2437,12,23,All Levels,1.5,2016-11-16,Business Finance,English,3.7
407984,Financial Model Basics: Build a model from start to finish,Paid,30,5057,142,13,Beginner,1.0,2015-02-06,Business Finance,English,3.8
214046,Option Trading for Rookies: The Covered Call Option Strategy,Paid,95,6092,25,29,Beginner,1.5,2016-11-03,Business Finance,English,4.234613666815543
512400,EFT for Stock Options Trading Success & Making Better Trades,Paid,95,4530,13,31,All Levels,1.5,2015-08-06,Business Finance,English,4.2
377370,Learn to Trade the Stock Market without Blowing Your Profits,Paid,60,6967,16,34,All Levels,1.0,2017-05-02,Business Finance,English,4.234613666815543
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,Paid,20,727,11,25,Beginner,3.0,2017-04-26,Business Finance,English,3.8
945750,Fundamentals of Accounting,Paid,20,1560,43,25,All Levels,3.0,2016-08-31,Business Finance,English,4.9
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",Paid,200,1047,9,46,All Levels,3.5,2017-01-26,Business Finance,English,4.234613666815543
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Paid,125,1045,2,17,Intermediate,1.0,2017-04-24,Business Finance,English,4.234613666815543
402836,Accounting 101: How to read an Accounting Balance Sheet,Paid,200,3050,86,22,Beginner,2.0,2015-01-27,Business Finance,English,4.5
588764,Stock Options Day Trading Mindset for Success,Paid,200,2988,21,43,All Levels,4.5,2015-09-29,Business Finance,English,3.8
576946,Introduction to bookkeeping and Accounting,Paid,35,2623,158,20,Beginner,1.0,2015-08-21,Business Finance,English,4.5
543242,Learn to Trade The News,Paid,200,1924,351,544,All Levels,46.5,2015-07-16,Business Finance,English,4.6
502240,"Value Investing, Taught by Six Superinvestors",Paid,200,3804,267,66,All Levels,5.0,2015-06-19,Business Finance,English,3.5
598266,Trading for everyone - The Independent Investor Course I,Paid,120,4133,15,36,Beginner,4.0,2015-10-08,Business Finance,English,3.7
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,Paid,195,1420,70,29,All Levels,2.5,2016-04-28,Business Finance,English,4.6
1076920,Stock Market investment: Practical Accounting,Paid,125,1120,6,43,Beginner,3.0,2017-01-23,Business Finance,English,3.8
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",Paid,200,668,12,22,All Levels,1.0,2017-02-07,Business Finance,English,4.8
441112,Accounting Basics in 66 Minutes (absolutely for beginners),Paid,25,4086,31,14,All Levels,1.5,2015-03-08,Business Finance,English,4.234613666815543
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",Paid,200,1033,10,29,All Levels,2.0,2017-01-11,Business Finance,English,4.4
1028030,Analysis of Company Financial Statements,Paid,20,832,34,34,All Levels,1.5,2016-12-07,Business Finance,English,3.9
1018380,Forex Trading Like Banks – Step by Step with Live Examples,Paid,195,677,45,40,All Levels,4.5,2016-12-18,Business Finance,English,4.4
